DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
,21603045,,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA Statement.,"Systematic reviews and meta-analyses have become increasingly important in health care. Clinicians read them to keep up to date with their field,1,2 and they are often used as a starting point for developing clinical practice guidelines. Granting agencies may require a systematic review to ensure there is justification for further research,3 and some health care journals are moving in this direction.4 As with all research, the value of a systematic review depends on what was done, what was found, and the clarity of reporting. As with other publications, the reporting quality of systematic reviews varies, limiting readers' ability to assess the strengths and weaknesses of those reviews.

Several early studies evaluated the quality of review reports. In 1987, Mulrow examined 50 review articles published in 4 leading medical journals in 1985 and 1986 and found that none met all 8 explicit scientific criteria, such as a quality assessment of included studies.5 In 1987, Sacks and colleagues6 evaluated the adequacy of reporting of 83 meta-analyses on 23 characteristics in 6 domains. Reporting was generally poor; between 1 and 14 characteristics were adequately reported (mean=7.7; standard deviation=2.7). A 1996 update of this study found little improvement.7

In 1996, to address the suboptimal reporting of meta-analyses, an international group developed a guidance called the QUOROM Statement (QUality Of Reporting Of Meta-analyses), which focused on the reporting of meta-analyses of randomized controlled trials.8 In this article, we summarize a revision of these guidelines, renamed PRISMA (Preferred Reporting Items for Systematic reviews and Meta-Analyses), which have been updated to address several conceptual and practical advances in the science of systematic reviews (Box 1).



Box 1

Conceptual issues in the evolution from QUOROM to PRISMA","David Moher,David Moher,Alessandro Liberati,Jennifer Tetzlaff,Douglas G. Altman",Open Medicine,2009
10.7326/m16-0961,27595430,,Allocation of Physician Time in Ambulatory Practice: A Time and Motion Study in 4 Specialties,"Background: Little is known about how physician time is allocated in ambulatory care. Objective: To describe how physician time is spent in ambulatory practice. Design: Quantitative direct observational time and motion study (during office hours) and self-reported diary (after hours). Setting: U.S. ambulatory care in 4 specialties in 4 states (Illinois, New Hampshire, Virginia, and Washington). Participants: 57 U.S. physicians in family medicine, internal medicine, cardiology, and orthopedics who were observed for 430 hours, 21 of whom also completed after-hours diaries. Measurements: Proportions of time spent on 4 activities (direct clinical face time, electronic health record [EHR] and desk work, administrative tasks, and other tasks) and self-reported after-hours work. Results: During the office day, physicians spent 27.0% of their total time on direct clinical face time with patients and 49.2% of their time on EHR and desk work. While in the examination room with patients, physicians spent 52.9% of the time on direct clinical face time and 37.0% on EHR and desk work. The 21 physicians who completed after-hours diaries reported 1 to 2 hours of after-hours work each night, devoted mostly to EHR tasks. Limitations: Data were gathered in self-selected, high-performing practices and may not be generalizable to other settings. The descriptive study design did not support formal statistical comparisons by physician and practice characteristics. Conclusion: For every hour physicians provide direct clinical face time to patients, nearly 2 additional hours is spent on EHR and desk work within the clinic day. Outside office hours, physicians spend another 1 to 2 hours of personal time each night doing additional computer and other clerical work. Primary Funding Source: American Medical Association.","Christine A. Sinsky,Lacey Colligan,Lacey Colligan,Ling Li,Mirela Prgomet,Sam Reynolds,Lindsey E. Goeders,Johanna I. Westbrook,Michael A. Tutty,George T. Blike",Annals of Internal Medicine,2016
10.1136/amiajnl-2013-001875,24005796,,Electronic medical records and physician stress in primary care: results from the MEMO Study,"Background Little has been written about physician stress that may be associated with electronic medical records (EMR).

Objective We assessed relationships between the number of EMR functions, primary care work conditions, and physician satisfaction, stress and burnout.

Design and participants 379 primary care physicians and 92 managers at 92 clinics from New York City and the upper Midwest participating in the 2001–5 Minimizing Error, Maximizing Outcome (MEMO) Study. A latent class analysis identified clusters of physicians within clinics with low, medium and high EMR functions.

Main measures We assessed physician-reported stress, burnout, satisfaction, and intent to leave the practice, and predictors including time pressure during visits. We used a two-level regression model to estimate the mean response for each physician cluster to each outcome, adjusting for physician age, sex, specialty, work hours and years using the EMR. Effect sizes (ES) of these relationships were considered small (0.14), moderate (0.39), and large (0.61).

Key results Compared to the low EMR cluster, physicians in the moderate EMR cluster reported more stress (ES 0.35, p=0.03) and lower satisfaction (ES −0.45, p=0.006). Physicians in the high EMR cluster indicated lower satisfaction than low EMR cluster physicians (ES −0.39, p=0.01). Time pressure was associated with significantly more burnout, dissatisfaction and intent to leave only within the high EMR cluster.

Conclusions Stress may rise for physicians with a moderate number of EMR functions. Time pressure was associated with poor physician outcomes mainly in the high EMR cluster. Work redesign may address these stressors.","Stewart F. Babbott,Linda Baier Manwell,Roger Brown,Roger L. Brown,Enid Montague,Eric S. Williams,Mark D. Schwartz,Erik P. Hess,Mark Linzer",Journal of the American Medical Informatics Association,2014
10.1016/j.mayocp.2016.05.007,27313121,,Relationship Between Clerical Burden and Characteristics of the Electronic Environment With Physician Burnout and Professional Satisfaction,"Abstract  Objective  To evaluate associations between the electronic environment, clerical burden, and burnout in US physicians.  Participants and Methods  Physicians across all specialties in the United States were surveyed between August and October 2014. Physicians provided information regarding use of electronic health records (EHRs), computerized physician order entry (CPOE), and electronic patient portals. Burnout was measured using validated metrics.  Results  Of 6375 responding physicians in active practice, 5389 (84.5%) reported that they used EHRs. Of 5892 physicians who indicated that CPOE was relevant to their specialty, 4858 (82.5%) reported using CPOE. Physicians who used EHRs and CPOE had lower satisfaction with the amount of time spent on clerical tasks and higher rates of burnout on univariate analysis. On multivariable analysis, physicians who used EHRs (odds ratio [OR]=0.67; 95% CI, 0.57-0.79;  P  P  P   Conclusion  In this large national study, physicians' satisfaction with their EHRs and CPOE was generally low. Physicians who used EHRs and CPOE were less satisfied with the amount of time spent on clerical tasks and were at higher risk for professional burnout.","Tait D. Shanafelt,Lotte N. Dyrbye,Liselotte N. Dyrbye,Christine A. Sinsky,Omar Hasan,Daniel Satele,Jeff A Sloan,Colin Patrick West",,2016
10.7326/m18-0139,29801050,,Physician Burnout in the Electronic Health Record Era: Are We Ignoring the Real Cause?,The widespread adoption of electronic health records (EHRs) has been perceived as driving physician dissatisfaction and burnout. The authors of this essay present data comparing EHR use in other co...,"N. Lance Downing,David W. Bates,Christopher A. Longhurst",Annals of Internal Medicine,2018
10.1197/jamia.m1700,15905487,,The Impact of Electronic Health Records on Time Efficiency of Physicians and Nurses: A Systematic Review,"A systematic review of the literature was performed to examine the impact of electronic health records (EHRs) on documentation time of physicians and nurses and to identify factors that may explain efficiency differences across studies. In total, 23 papers met our inclusion criteria; five were randomized controlled trials, six were posttest control studies, and 12 were one-group pretest-posttest designs. Most studies (58%) collected data using a time and motion methodology in comparison to work sampling (33%) and self-report/survey methods (8%). A weighted average approach was used to combine results from the studies. The use of bedside terminals and central station desktops saved nurses, respectively, 24.5% and 23.5% of their overall time spent documenting during a shift. Using bedside or point-of-care systems increased documentation time of physicians by 17.5%. In comparison, the use of central station desktops for computerized provider order entry (CPOE) was found to be inefficient, increasing the work time from 98.1% to 328.6% of physician's time per working shift (weighted average of CPOE-oriented studies, 238.4%). Studies that conducted their evaluation process relatively soon after implementation of the EHR tended to demonstrate a reduction in documentation time in comparison to the increases observed with those that had a longer time period between implementation and the evaluation process. This review highlighted that a goal of decreased documentation time in an EHR project is not likely to be realized. It also identified how the selection of bedside or central station desktop EHRs may influence documentation time for the two main user groups, physicians and nurses.","Lise Poissant,Jennifer Pereira,Robyn Tamblyn,Yuko Kawasumi",Journal of the American Medical Informatics Association,2005
10.1001/jama.2017.0076,28196201,,Addressing Physician Burnout: The Way Forward.,"The US health care delivery system and the field of medicine have experienced tremendous change over the last decade. At the system level, narrowing of insurance networks, employed physicians, and financial pressures have resulted in greater expectations regarding productivity, increased workload, and reduced physician autonomy. Physicians also have to navigate a rapidly expanding medical knowledge base, more onerous maintenance of certification requirements, increased clerical burden associated with the introduction of electronic health records (EHRs) and patient portals, new regulatory requirements (meaningful use, e-prescribing, medication reconciliation), and an unprecedented level of scrutiny (quality metrics, patient satisfaction scores, measures of cost).","Tait D. Shanafelt,Liselotte (Lotte) Dyrbye,Liselotte N. Dyrbye,Colin Patrick West",JAMA,2017
10.1197/jamia.m1471,14633936,,Some Unintended Consequences of Information Technology in Health Care: The Nature of Patient Care Information System-related Errors,"Medical error reduction is an international issue, as is the implementation of patient care information systems (PCISs) as a potential means to achieving it. As researchers conducting separate studies in the United States, The Netherlands, and Australia, using similar qualitative methods to investigate implementing PCISs, the authors have encountered many instances in which PCIS applications seem to foster errors rather than reduce their likelihood. The authors describe the kinds of silent errors they have witnessed and, from their different social science perspectives (information science, sociology, and cognitive science), they interpret the nature of these errors. The errors fall into two main categories: those in the process of entering and retrieving information, and those in the communication and coordination process that the PCIS is supposed to support. The authors believe that with a heightened awareness of these issues, informaticians can educate, design systems, implement, and conduct research in such a way that they might be able to avoid the unintended consequences of these subtle silent errors.","Joan S. Ash,Marc Berg,Enrico Coiera",Journal of the American Medical Informatics Association,2003
10.1371/journal.pmed.1000097,,,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,"David Moher and colleagues  introduce PRISMA, an update of the QUOROM guidelines for reporting systematic reviews and meta-analyses","David Moher,David Moher,Alessandro Liberati,Alessandro Liberati,Jennifer Tetzlaff,Jennifer Tetzlaff,Douglas G. Altman",PLOS Medicine,2009
10.1016/j.juro.2010.03.040,20483153,,Scribes in an Ambulatory Urology Practice: Patient and Physician Satisfaction,"Purpose: The increasing use of electronic medical records during the clinical encounter brings not only benefits but also barriers that may affect the doctor-patient relationship and increase the work burden of the physician. We evaluated whether the use of an electronic medical record scribe in an academic urology program would ameliorate these problems.Materials and Methods: We randomly assigned electronic medical record scribes to the office hours of 5 academic urologists, and using surveys we evaluated patient and physician acceptance and satisfaction.Results: Patients were accepting of an electronic medical record scribe and satisfaction rates were high (93% vs 87% in the absence of a scribe, p = 0.36). Patients were comfortable disclosing urological information in the presence of the scribe. Physicians were dramatically more satisfied with office hours when a scribe was present (69% vs 19%, p <0.001). We were unable to determine whether the presence of a scribe improves productivity.Conclusions: Ele...","Simi Koshy,Paul J. Feustel,Michael Hong,Barry A. Kogan",The Journal of Urology,2010
